Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1835,1421,Amizade Feliz,Ambriz,Rio de Janeiro province,372,340,,,
1835,1422,Angélica,Ambriz,Rio de Janeiro province,352,317,,,
1835,1423,Continente,"Africa, port unspecified",São Sebastião,69,62,,,
1835,1424,Aventura,Luanda,São Sebastião,66,60,,,
1835,1425,Novo Destino,"Africa, port unspecified",São Sebastião,281,257,,,
1835,1426,Órion,Luanda,Rio de Janeiro,261,245,,,12
1835,1427,,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",365,300,,,
1835,1435,S Joãozinho,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",307,277,,,
1835,1436,General Saldanha,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,,
1835,1437,Elisa,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",307,277,,,
1835,1439,Esperanza Oriental,"West Central Africa and St. Helena, port unspecified",Montevideo,392,350,,,
1835,1440,Oriental,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",401,367,,,
1835,1441,Simpatia,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,,
1835,1442,Africana,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,,
1835,1443,Delfina Dáfine,"West Central Africa and St. Helena, port unspecified",Maldonado,359,320,,,
1835,1444,Jovem Africano,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,,
1835,1445,Paquete Africano (a) César Augusto,Lourenço Marques,"Rio de Janeiro, Sao Paulo, Santa Catarina",269,221,,,17
1836,1446,Ninfa (a) Matanzera,Calabar,Matanzas,518,433,85,59,27
1836,1447,Maria Teresa,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1448,Isabella Segunda,Ambriz,"Cuba, port unspecified",490,444,,,49
1836,1449,Socorro,Mozambique,Havana,800,605,195,,
1836,1450,Jacinto,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1451,Bela Ines,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
